_TRI_REL_AND_TRAN_EZ.TRI_FACILITY_ID,V_TRI_REL_AND_TRAN_EZ.FACILITY_NAME,V_TRI_REL_AND_TRAN_EZ.DOC_CTRL_NUM,V_TRI_REL_AND_TRAN_EZ.REPORTING_YEAR,V_TRI_REL_AND_TRAN_EZ.CHEM_NAME,V_TRI_REL_AND_TRAN_EZ.CAS_NUM,V_TRI_REL_AND_TRAN_EZ.ELEMENTAL_METAL_INCLUDED,V_TRI_REL_AND_TRAN_EZ.CATEGORY,V_TRI_REL_AND_TRAN_EZ.REL_EST_AMT_SUM,V_TRI_REL_AND_TRAN_EZ.CARCINOGEN,V_TRI_REL_AND_TRAN_EZ.CLEAN_AIR,V_TRI_REL_AND_TRAN_EZ.LIST_3350,V_TRI_REL_AND_TRAN_EZ.STREET_ADDRESS,V_TRI_REL_AND_TRAN_EZ.CITY_NAME,V_TRI_REL_AND_TRAN_EZ.COUNTY_NAME,V_TRI_REL_AND_TRAN_EZ.STATE_COUNTY_FIPS_CODE,V_TRI_REL_AND_TRAN_EZ.STATE_ABBR,V_TRI_REL_AND_TRAN_EZ.ZIP_CODE,V_TRI_REL_AND_TRAN_EZ.REGION,V_TRI_REL_AND_TRAN_EZ.FAC_CLOSED_IND,V_TRI_REL_AND_TRAN_EZ.ASGN_AGENCY,V_TRI_REL_AND_TRAN_EZ.ASGN_FEDERAL_IND,V_TRI_REL_AND_TRAN_EZ.PARENT_CO_DB_NUM,V_TRI_REL_AND_TRAN_EZ.PARENT_CO_NAME,V_TRI_REL_AND_TRAN_EZ.INDUSTRY_CODE,V_TRI_REL_AND_TRAN_EZ.SIC_CODES
80305NTNLN325BR,NATIONAL INSTITUTE OF STANDARD&TECHNOLOGY BOULDER,1319218199521,2019,MERCURY,7439-97-6,N,TOTAL ONSITE RELEASE,0,N,Y,Y,325 BROADWAY  MC 173.02,BOULDER,BOULDER,08013,CO,80305,8,0,COMMERC,F,NA,US DEPARTMENT OF COMMERCE,999,
8061WMLTCH1CHRI,MULTI-CHEM GROUP EATON CO FACILITY,1319218040855,2019,ETHYLENE GLYCOL,107-21-1,N,TOTAL OFFSITE RELEASE,0,N,Y,N,100 CHRISTENSEN AVE,EATON,WELD,08123,CO,80615,8,0,,C,043296920,HALLIBURTON ENERGY SERVICES INC,4246,
8061WMLTCH1CHRI,MULTI-CHEM GROUP EATON CO FACILITY,1319218040855,2019,ETHYLENE GLYCOL,107-21-1,N,TOTAL ON OFFSITE RELEASE,0,N,Y,N,100 CHRISTENSEN AVE,EATON,WELD,08123,CO,80615,8,0,,C,043296920,HALLIBURTON ENERGY SERVICES INC,4246,
80550FRNTR31375,FRONT RANGE ENERGY,1319218307458,2019,ACETALDEHYDE,75-07-0,N,TOTAL ONSITE RELEASE,11100,Y,Y,N,31375 GREAT WESTERN DR,WINDSOR,WELD,08123,CO,80550,8,0,,C,NA,FRONT RANGE ENERGY LLC,325,
80640SNCLR8581E,SINCLAIR DENVER PRODUCTS TERMINAL,1319218093514,2019,ETHYLBENZENE,100-41-4,N,TOTAL ONSITE RELEASE,500,Y,Y,N,8581 E 96TH AVE,HENDERSON,ADAMS,08001,CO,80640,8,0,,C,079959185,SINCLAIR OIL CORP,4247,
80105SFTYK10855,CLEAN HARBORS DEER TRAIL LLC,1319217972090,2019,BARIUM,7440-39-3,N,TOTAL ONSITE RELEASE,240053.07,N,N,N,108555 EAST HIGHWAY 36,DEER TRAIL,ADAMS,08001,CO,80105,8,0,,C,157793639,CLEAN HARBORS INC,562,
80501CRCLG129TH,CIRCLE GRAPHICS INC,1319218356145,2019,CERTAIN GLYCOL ETHERS,N230,N,TOTAL ONSITE RELEASE,6700,N,Y,N,120 9TH AVE,LONGMONT,BOULDER,08013,CO,80501,8,0,,C,,No US Parent,323,
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,1319218259531,2019,HYDROGEN SULFIDE,7783-06-4,N,TOTAL OFFSITE RELEASE,0,N,Y,N,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,241804681,SUNCOR ENERGY (USA) INC,324,
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,1319218259531,2019,HYDROGEN SULFIDE,7783-06-4,N,POTW TREATMENT,0,N,Y,N,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,241804681,SUNCOR ENERGY (USA) INC,324,
80723PBLCS14940,PUBLIC SERVICE CO OF COLORADO PAWNEE STATION,1319218084453,2019,BARIUM COMPOUNDS,N040,N,OTH LANDF,730000,N,N,N,14940 COUNTY RD 24,BRUSH,MORGAN,08087,CO,80723,8,0,,C,848381245,XCEL ENERGY,2211,
80723PBLCS14940,PUBLIC SERVICE CO OF COLORADO PAWNEE STATION,1319218084453,2019,BARIUM COMPOUNDS,N040,N,TOTAL OFFSITE RELEASE,0,N,N,N,14940 COUNTY RD 24,BRUSH,MORGAN,08087,CO,80723,8,0,,C,848381245,XCEL ENERGY,2211,
81007NTRST646NS,INTERSTATE CHEMICAL CO INC,1319217895186,2019,TOLUENE,108-88-3,N,AIR STACK,212,N,Y,N,646 N STATES AVE,PUEBLO WEST,PUEBLO,08101,CO,81007,8,0,,C,NA,INTERSTATE CHEMICAL CO INC,4246,
80110STLLM373SK,STOLLE MACHINERYCO ENGLEWOOD,1319218414720,2019,MANGANESE,7439-96-5,N,TOTAL ONSITE RELEASE,0,N,Y,N,3730 S KALAMATH,ENGLEWOOD,ARAPAHOE,08005,CO,80110,8,0,,C,007056245,STOLLE MACHINERY CO,333,
80903MRTND700SC,COLORADO SPRINGS UTILITIES MARTIN DRAKE POWER PLANT,1319218372783,2019,BARIUM  and BARIUM COMPOUNDS,N040,Y,AIR FUG,8,N,N,N,700 S CONEJOS ST,COLORADO SPRINGS,EL PASO,08041,CO,80903,8,0,,C,127711760,COLORADO SPRINGS UTILITIES,2211,
80903MRTND700SC,COLORADO SPRINGS UTILITIES MARTIN DRAKE POWER PLANT,1319218372783,2019,BARIUM  and BARIUM COMPOUNDS,N040,Y,POTW RELEASE,140,N,N,N,700 S CONEJOS ST,COLORADO SPRINGS,EL PASO,08041,CO,80903,8,0,,C,127711760,COLORADO SPRINGS UTILITIES,2211,
80903MRTND700SC,COLORADO SPRINGS UTILITIES MARTIN DRAKE POWER PLANT,1319218372783,2019,BARIUM  and BARIUM COMPOUNDS,N040,Y,TOTAL ONSITE RELEASE,1670,N,N,N,700 S CONEJOS ST,COLORADO SPRINGS,EL PASO,08041,CO,80903,8,0,,C,127711760,COLORADO SPRINGS UTILITIES,2211,
80401DLPHC12THF,MOLSON COORS USA LLC - GOLDEN BREWERY,1319217972797,2019,AMMONIA,7664-41-7,N,WASTE TREATMENT,2200,N,N,N,12TH AND FORD STREETS,GOLDEN,JEFFERSON,08059,CO,80401,8,0,,C,NA,MOLSON COORS LLC,3121,
80401DLPHC12THF,MOLSON COORS USA LLC - GOLDEN BREWERY,1319217972797,2019,AMMONIA,7664-41-7,N,WATER,5300,N,N,N,12TH AND FORD STREETS,GOLDEN,JEFFERSON,08059,CO,80401,8,0,,C,NA,MOLSON COORS LLC,3121,
80105SFTYK10855,CLEAN HARBORS DEER TRAIL LLC,1319217972189,2019,XYLENE (MIXED ISOMERS),1330-20-7,N,AIR STACK,.05,N,Y,Y,108555 EAST HIGHWAY 36,DEER TRAIL,ADAMS,08001,CO,80105,8,0,,C,157793639,CLEAN HARBORS INC,562,
80105SFTYK10855,CLEAN HARBORS DEER TRAIL LLC,1319217972215,2019,AMMONIA,7664-41-7,N,RCRA C,23983,N,N,N,108555 EAST HIGHWAY 36,DEER TRAIL,ADAMS,08001,CO,80105,8,0,,C,157793639,CLEAN HARBORS INC,562,
8002WPRNML6151B,PURINA ANIMAL NUTRITION LLC - COMMERCE CITY,1319217625161,2019,ZINC COMPOUNDS,N982,N,TOTAL OFFSITE RELEASE,0,N,N,N,6151 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,806578337,LAND O LAKES INC,311,
80621GLDNL1405E,GOLDEN ALUMINUM,1319218063321,2019,CHLORINE,7782-50-5,N,POTW TREATMENT,0,N,Y,N,1405 E 14TH ST,FORT LUPTON,WELD,08123,CO,80621,8,0,,C,,No US Parent,331,
80640DLTRC9155B,CRYSTAL PACKAGING INC,1319218184909,2019,ZINC COMPOUNDS,N982,N,RECYCLING,126,N,N,N,9155 BOSTON ST,HENDERSON,ADAMS,08001,CO,80640,8,0,,C,,No US Parent,325,
80216WRGHT4245E,WRIGHT & MCGILL CO,1319217768047,2019,NITRATE COMPOUNDS,N511,N,POTW NON METALS,66961.2,N,N,N,4245 E 46TH AVE,DENVER,DENVER,08031,CO,80216,8,0,,C,,No US Parent,339,
80601LLTCC1095S,INTERTAPE POLYMER GROUP BRIGHTON FACILITY,1319218131961,2019,TOLUENE,108-88-3,N,TOTAL OFFSITE RELEASE,5,N,Y,N,1095 S FOURTH AVE,BRIGHTON,ADAMS,08001,CO,80601,8,0,,C,NA,INTERTAPE POLYMER GROUP,322,
80601LLTCC1095S,INTERTAPE POLYMER GROUP BRIGHTON FACILITY,1319218131961,2019,TOLUENE,108-88-3,N,TOTAL ON OFFSITE RELEASE,19982,N,Y,N,1095 S FOURTH AVE,BRIGHTON,ADAMS,08001,CO,80601,8,0,,C,NA,INTERTAPE POLYMER GROUP,322,
80521WSTRN100MA,WESTERN FOUNDRIES INC,1319218362352,2019,DIISOCYANATES,N120,N,TOTAL OFFSITE RELEASE,0,N,Y,N,100 MARTIN ST,LONGMONT,BOULDER,08013,CO,80501,8,0,,C,,No US Parent,331,
80521WSTRN100MA,WESTERN FOUNDRIES INC,1319218362352,2019,DIISOCYANATES,N120,N,TOTAL ON OFFSITE RELEASE,0,N,Y,N,100 MARTIN ST,LONGMONT,BOULDER,08013,CO,80501,8,0,,C,,No US Parent,331,
80621GLDNL1405E,GOLDEN ALUMINUM,1319218063345,2019,DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,N,TOTAL OFFSITE RELEASE,.0012178,Y,Y,N,1405 E 14TH ST,FORT LUPTON,WELD,08123,CO,80621,8,0,,C,,No US Parent,331,
81639PBLCS12795,PUBLIC SERVICE CO OF COLORADO HAYDEN STATION,1319218084883,2019,DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,N,POTW TREATMENT,0,Y,Y,N,13125 HIGHWAY 40,HAYDEN,ROUTT,08107,CO,81639,8,0,,C,848381245,XCEL ENERGY,2211,
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,1319218259442,2019,COBALT COMPOUNDS,N096,N,TOTAL ONSITE RELEASE,12,N,Y,N,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,241804681,SUNCOR ENERGY (USA) INC,324,
8060WCMCCT455ID,CMC REBAR BRIGHTON,1319218230908,2019,NICKEL COMPOUNDS,N495,N,TOTAL OFFSITE RELEASE,0,Y,Y,Y,455 IDA ST.,BRIGHTON,ADAMS,08001,CO,80603,8,0,,C,007925845,COMMERCIAL METALS CO,332,
8053WLVLND644NC,LOVELAND READY MIX,1319218506006,2019,NITRATE COMPOUNDS,N511,N,TOTAL OFFSITE RELEASE,0,N,N,N,644 N NAMAQUA AVE,LOVELAND,LARIMER,08069,CO,80537,8,0,,C,007083108,LOVELAND READY-MIX CONCRETE INC,327,
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,1319218259582,2019,N-HEXANE,110-54-3,N,WASTE TREATMENT,55,N,Y,N,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,241804681,SUNCOR ENERGY (USA) INC,324,
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,1319218259582,2019,N-HEXANE,110-54-3,N,TOTAL OFFSITE RELEASE,0,N,Y,N,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,241804681,SUNCOR ENERGY (USA) INC,324,
80204NTDST320WE,US DEPARTMENT OF THE TREASURY US MINT DENVER,1319218012894,2019,LEAD,7439-92-1,N,POTW TREATMENT,0,Y,Y,Y,320 W COLFAX AVE,DENVER,DENVER,08031,CO,80204,8,0,DTR,F,NA,US DEPARTMENT OF THE TREASURY,332,
81001SHLND250WI,KMG ELECTRONIC CHEMICALS INC,1319218494591,2019,HYDROGEN FLUORIDE,7664-39-3,N,RECYCLING,48834,N,Y,N,250 WILLIAM WHITE BLVD,PUEBLO,PUEBLO,08101,CO,81001,8,0,,C,009744174,KMG CHEMICALS INC,325,
80601SSHCN10300,SASHCO INC,1319218212607,2019,TOLUENE,108-88-3,N,AIR STACK,2425,N,Y,N,10300 E 107TH PL,BRIGHTON,ADAMS,08001,CO,80601,8,0,,C,,No US Parent,325,
80906HNYWL1150E,ATMEL CORP,1319218501601,2019,ETHYLENE GLYCOL,107-21-1,N,WASTE TREATMENT,104320,N,Y,N,1150 E CHEYENNE MOUNTAIN BLVD,COLORADO SPRINGS,EL PASO,08041,CO,80906,8,0,,C,,No US Parent,334,
80401VLLYM17755,ROCKY MOUNTAIN METAL CONTAINER,1319218430167,2019,N-BUTYL ALCOHOL,71-36-3,N,AIR FUG,6200,N,N,N,17755 W 32ND AVE,GOLDEN,JEFFERSON,08059,CO,80401,8,0,,C,NA,MOLSON COORS LLC,332,
8052WWDWRD141WD,WOODWARD INC,1319217967520,2019,CHROMIUM,7440-47-3,N,RECYCLING,14540,N,Y,Y,1041 WOODWARD WAY,FORT COLLINS,LARIMER,08069,CO,80524,8,0,,C,030359256,WOODWARD INC,333,
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,1319218259594,2019,NAPHTHALENE,91-20-3,N,AIR FUG,78,Y,Y,N,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,241804681,SUNCOR ENERGY (USA) INC,324,
80549RWHDN2700E,RAWHIDE ENERGY STATION,1319217923869,2019,HYDROGEN FLUORIDE,7664-39-3,N,AIR STACK,678,N,Y,N,2700 E COUNTY RD 82,WELLINGTON,LARIMER,08069,CO,80549,8,0,,C,075759948,PLATTE RIVER POWER AUTHORITY,2211,
80549RWHDN2700E,RAWHIDE ENERGY STATION,1319217923869,2019,HYDROGEN FLUORIDE,7664-39-3,N,POTW TREATMENT,0,N,Y,N,2700 E COUNTY RD 82,WELLINGTON,LARIMER,08069,CO,80549,8,0,,C,075759948,PLATTE RIVER POWER AUTHORITY,2211,
80549RWHDN2700E,RAWHIDE ENERGY STATION,1319217923869,2019,HYDROGEN FLUORIDE,7664-39-3,N,TOTAL ON OFFSITE RELEASE,678,N,Y,N,2700 E COUNTY RD 82,WELLINGTON,LARIMER,08069,CO,80549,8,0,,C,075759948,PLATTE RIVER POWER AUTHORITY,2211,
80501LFRGW272ST,MARTIN MARIETTA - DEL CAMINO READY MIX,1319218213332,2019,NITRATE COMPOUNDS,N511,N,TOTAL OFFSITE RELEASE,0,N,N,N,2702 STATE HWY 119,LONGMONT,WELD,08123,CO,80501,8,0,,C,809750912,MARTIN MARIETTA MATERIALS INC,327,
80723PBLCS14940,PUBLIC SERVICE CO OF COLORADO PAWNEE STATION,1319218084440,2019,POLYCYCLIC AROMATIC COMPOUNDS,N590,N,TOTAL ONSITE RELEASE,1.503,Y,Y,N,14940 COUNTY RD 24,BRUSH,MORGAN,08087,CO,80723,8,0,,C,848381245,XCEL ENERGY,2211,
80233FTRFM11020,ATLAS ROOFING CORP,1319217919594,2019,N-METHYL-2-PYRROLIDONE,872-50-4,N,TOTAL ONSITE RELEASE,0,N,N,N,11020 LEROY DR,NORTHGLENN,ADAMS,08001,CO,80233,8,0,,C,045468559,ATLAS ROOFING CORP,326,
80301DTRCH5601N,DIETERICH STANDARD INC,1319217761790,2019,NICKEL COMPOUNDS,N495,N,POTW TREATMENT,0,Y,Y,Y,5601 N 71ST ST,BOULDER,BOULDER,08013,CO,80301,8,0,,C,006477467,EMERSON ELECTRIC CO,334,
80216ZMMRM201EA,ZIMMERMAN METALS INC,1319218518189,2019,NICKEL,7440-02-0,N,POTW RELEASE,0,Y,Y,Y,201 E 58TH AVE,DENVER,ADAMS,08001,CO,80216,8,0,,C,,No US Parent,332,
80022BYLSG4400E,AZZ GALVANIZING -DENVER,1319217786944,2019,LEAD,7439-92-1,N,RECYCLING,10.39,Y,Y,Y,4400 E 61ST AVE,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,008012148,AZZ INC,332,
80022BYLSG4400E,AZZ GALVANIZING -DENVER,1319217786944,2019,LEAD,7439-92-1,N,POTW RELEASE,0,Y,Y,Y,4400 E 61ST AVE,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,008012148,AZZ INC,332,
80860CRPPL2755S,CRIPPLE CREEK & VICTOR GOLD MINING CO,1319218055782,2019,ZINC COMPOUNDS,N982,N,TOTAL ONSITE RELEASE,6,N,N,N,1280 HWY 67,VICTOR,TELLER,08119,CO,80860,8,0,,C,006988414,NEWMONT MINING CORP,2122,
80127SSCRC10570,TTM TECHNOLOGIES,1319218143408,2019,LEAD COMPOUNDS,N420,N,TOTAL ONSITE RELEASE,0,N,Y,Y,10570 BRADFORD RD,LITTLETON,JEFFERSON,08059,CO,80127,8,0,,C,006644199,TTM TECHNOLOGIES,334,
80403CFMRC16351,CF MAIER COMPOSITES INC,1319217798305,2019,METHYL METHACRYLATE,80-62-6,N,POTW RELEASE,0,N,Y,N,16351 TABLE MOUNTAIN PKWY COORS TECHNOLOGY CENTER,GOLDEN,JEFFERSON,08059,CO,80403,8,0,,C,622504603,CF MAIER COMPOSITES INC,326,
8042WCLMXMHIGHW,CLIMAX MOLYBDENUM CO-CLIMAX MINE,1319218063093,2019,LEAD  and LEAD COMPOUNDS,N420,Y,AIR STACK,2,N,Y,Y,HWY 91 FREMONT PASS,CLIMAX,LAKE,08065,CO,80429,8,0,,C,187122973,FREEPORT-MCMORAN INC,2122,
80105SFTYK10855,CLEAN HARBORS DEER TRAIL LLC,1319218532467,2019,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,Y,POTW TREATMENT,0,N,Y,Y,108555 EAST HIGHWAY 36,DEER TRAIL,ADAMS,08001,CO,80105,8,0,,C,157793639,CLEAN HARBORS INC,562,
80105SFTYK10855,CLEAN HARBORS DEER TRAIL LLC,1319218532467,2019,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,Y,TOTAL ON OFFSITE RELEASE,80117,N,Y,Y,108555 EAST HIGHWAY 36,DEER TRAIL,ADAMS,08001,CO,80105,8,0,,C,157793639,CLEAN HARBORS INC,562,
8023WCHMST515PA,CHEMSTATION DENVER,1319218410569,2019,NITRIC ACID,7697-37-2,N,TOTAL ON OFFSITE RELEASE,0,N,N,N,5015 PARIS ST,DENVER,DENVER,08031,CO,80239,8,0,,C,177350279,CHEMSTATION INTERNATIONAL INC,325,
80110STLLM373SK,STOLLE MACHINERYCO ENGLEWOOD,1319218414744,2019,COPPER,7440-50-8,N,POTW TREATMENT,0,N,N,N,3730 S KALAMATH,ENGLEWOOD,ARAPAHOE,08005,CO,80110,8,0,,C,007056245,STOLLE MACHINERY CO,333,
8001WCLRDP2851W,COLORADO PAINT CO,1319218141075,2019,4 4'-ISOPROPYLIDENEDIPHENOL,80-05-7,N,TOTAL OFFSITE RELEASE,0,N,N,N,2851 WALDEN ST,AURORA,ADAMS,08001,CO,80011,8,0,,C,,No US Parent,325,
81503CLRDC56924,TOTAL PETROCHEMICALS & REFINING USA INC (TOTAL CRAY VALLEY),1319218118279,2019,1 3-BUTADIENE,106-99-0,N,AIR FUG,11,Y,Y,N,569  24 1/4  RD,GRAND JUNCTION,MESA,08077,CO,81505,8,0,,C,037810702,TOTAL HOLDINGS USA INC,325,
81004CFSTL225CA,EVRAZ ROCKY MOUNTAIN STEEL,1319217824453,2019,ZINC COMPOUNDS,N982,N,AIR FUG,3927,N,N,N,2100 S FWY,PUEBLO,PUEBLO,08101,CO,81004,8,0,,C,009106055,EVRAZ INC N.A.,331,
81004CFSTL225CA,EVRAZ ROCKY MOUNTAIN STEEL,1319217824453,2019,ZINC COMPOUNDS,N982,N,POTW RELEASE,0,N,N,N,2100 S FWY,PUEBLO,PUEBLO,08101,CO,81004,8,0,,C,009106055,EVRAZ INC N.A.,331,
