_TRI_FORM_TOTALS_EZ.REPORTING_YEAR,V_TRI_FORM_TOTALS_EZ.TRI_FACILITY_ID,V_TRI_FORM_TOTALS_EZ.FACILITY_NAME,V_TRI_FORM_TOTALS_EZ.STREET_ADDRESS,V_TRI_FORM_TOTALS_EZ.CITY_NAME,V_TRI_FORM_TOTALS_EZ.COUNTY_NAME,V_TRI_FORM_TOTALS_EZ.STATE_FIPS_CODE,V_TRI_FORM_TOTALS_EZ.STATE_ABBR,Code Expansion for State Abbreviation,V_TRI_FORM_TOTALS_EZ.ZIP_CODE,V_TRI_FORM_TOTALS_EZ.REGION,Code Expansion for Region,V_TRI_FORM_TOTALS_EZ.FAC_CLOSED_IND,V_TRI_FORM_TOTALS_EZ.ASGN_AGENCY,Code Expansion for Assigned Agency,V_TRI_FORM_TOTALS_EZ.ASSIGNED_AGENCY_CODE,V_TRI_FORM_TOTALS_EZ.ASGN_FEDERAL_IND,V_TRI_FORM_TOTALS_EZ.PARENT_CO_NAME,V_TRI_FORM_TOTALS_EZ.PARENT_CO_DB_NUM,V_TRI_FORM_TOTALS_EZ.STANDARDIZED_PARENT_COMPANY,V_TRI_FORM_TOTALS_EZ.EPA_REGISTRY_ID,V_TRI_FORM_TOTALS_EZ.INDUSTRY_SECTOR_CODE,V_TRI_FORM_TOTALS_EZ.PRIMARY_SIC,V_TRI_FORM_TOTALS_EZ.SIC_CODES,V_TRI_FORM_TOTALS_EZ.PRIMARY_NAICS,V_TRI_FORM_TOTALS_EZ.NAICS_CODE,V_TRI_FORM_TOTALS_EZ.CHEMICAL_NAME,V_TRI_FORM_TOTALS_EZ.TRI_CHEM_ID,V_TRI_FORM_TOTALS_EZ.CHEMICAL_ABSTRACT_NUMBER,V_TRI_FORM_TOTALS_EZ.SRS_IDENTIFIER,V_TRI_FORM_TOTALS_EZ.GENERIC_CHEM_NAME,V_TRI_FORM_TOTALS_EZ.MIXTURE_NAME,V_TRI_FORM_TOTALS_EZ.ELEMENTAL_METAL_INCLUDED,V_TRI_FORM_TOTALS_EZ.CARCINOGEN_CHEMICAL_INDICATOR,V_TRI_FORM_TOTALS_EZ.CLEAN_AIR_ACT_CHEMICAL_INDICATOR,V_TRI_FORM_TOTALS_EZ.R3350_CHEMICAL_INDICATOR,V_TRI_FORM_TOTALS_EZ.DOC_CTRL_NUM,V_TRI_FORM_TOTALS_EZ.FORM_TYPE_IND,V_TRI_FORM_TOTALS_EZ.POSTMARK_DATE,V_TRI_FORM_TOTALS_EZ.ORIG_POSTMARK,V_TRI_FORM_TOTALS_EZ.TRADE_SECRET_IND,V_TRI_FORM_TOTALS_EZ.REVISION_CODE_1,V_TRI_FORM_TOTALS_EZ.REVISION_CODE_2,V_TRI_FORM_TOTALS_EZ.TOTAL_ONSITE_RELEASE,V_TRI_FORM_TOTALS_EZ.AIR_FUG,V_TRI_FORM_TOTALS_EZ.AIR_STACK,V_TRI_FORM_TOTALS_EZ.TOTAL_AIR_RELEASE,V_TRI_FORM_TOTALS_EZ.TOTAL_WATER_RELEASE,V_TRI_FORM_TOTALS_EZ.NUMBER_OF_STREAMS,V_TRI_FORM_TOTALS_EZ.UNINJ8795,V_TRI_FORM_TOTALS_EZ.UNINJ_I,V_TRI_FORM_TOTALS_EZ.UNINJ_IIV,V_TRI_FORM_TOTALS_EZ.LANDF8795,V_TRI_FORM_TOTALS_EZ.RCRA_C,V_TRI_FORM_TOTALS_EZ.OTH_LANDF,V_TRI_FORM_TOTALS_EZ.LAND_TREA,V_TRI_FORM_TOTALS_EZ.SURF_IMP,V_TRI_FORM_TOTALS_EZ.SI_553A,V_TRI_FORM_TOTALS_EZ.SI_553B,V_TRI_FORM_TOTALS_EZ.OTH_DISP,V_TRI_FORM_TOTALS_EZ.TOTAL_LAND_RELEASE,V_TRI_FORM_TOTALS_EZ.TOTAL_POTW_TRANSFER,V_TRI_FORM_TOTALS_EZ.POTW_RELEASE,V_TRI_FORM_TOTALS_EZ.POTW_RELEASE_81C,V_TRI_FORM_TOTALS_EZ.POTW_RELEASE_81D,V_TRI_FORM_TOTALS_EZ.POTW_TREATMENT,V_TRI_FORM_TOTALS_EZ.POTW_METAL,V_TRI_FORM_TOTALS_EZ.POTW_NON_METAL,V_TRI_FORM_TOTALS_EZ.P30,V_TRI_FORM_TOTALS_EZ.P31,V_TRI_FORM_TOTALS_EZ.P32,V_TRI_FORM_TOTALS_EZ.P33,V_TRI_FORM_TOTALS_EZ.P34,V_TRI_FORM_TOTALS_EZ.P35,V_TRI_FORM_TOTALS_EZ.P36,V_TRI_FORM_TOTALS_EZ.P37,V_TRI_FORM_TOTALS_EZ.P38,V_TRI_FORM_TOTALS_EZ.P39,V_TRI_FORM_TOTALS_EZ.M10,V_TRI_FORM_TOTALS_EZ.M41,V_TRI_FORM_TOTALS_EZ.M62,V_TRI_FORM_TOTALS_EZ.M40_METAL,V_TRI_FORM_TOTALS_EZ.M61_METAL,V_TRI_FORM_TOTALS_EZ.M71,V_TRI_FORM_TOTALS_EZ.M81,V_TRI_FORM_TOTALS_EZ.M82,V_TRI_FORM_TOTALS_EZ.M72,V_TRI_FORM_TOTALS_EZ.TOTAL_OFFSITE_RELEASE,V_TRI_FORM_TOTALS_EZ.TOTAL_RECYCLING_TRANSFER,V_TRI_FORM_TOTALS_EZ.TOTAL_RECOVERY_TRANSFER,V_TRI_FORM_TOTALS_EZ.TOTAL_TREATMENT_TRANSFER,V_TRI_FORM_TOTALS_EZ.UNCLASSIFIED_TRANSFERS,V_TRI_FORM_TOTALS_EZ.TOTAL_TRANSFER,V_TRI_FORM_TOTALS_EZ.TOTAL_TQR_RELEASE,V_TRI_FORM_TOTALS_EZ.REL_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.REL_81A_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.REL_81B_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.REL_81C_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.REL_81D_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.RECYC_ONSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.RECYC_OFFSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.ENERGY_ONSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.ENERGY_OFFSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.TREATED_ONSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.TREATED_OFFSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.TOTAL_PROD_WASTE,V_TRI_FORM_TOTALS_EZ.ONE_TIME_RELEASE_QTY
2019,81505CLTTT2306H,MINOVA USA INC,2306 HWY 6 & 50,GRAND JUNCTION,MESA,08,CO,N/A,81505,8,REGION 8,0,,N/A,,C,ORICA USA INC,130382588,ORICA USA INC,110000600298,325,,    ,325991,    ,BENZOYL PEROXIDE,000094360,000094360,15420,NA,NA,NO,NO,NO,0,1319218239414,L,2020-06-29,2020-06-26,0,RR4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,1400,1400,0,0,0,1400,0,0,0,0,0,0,0,1400,
2019,8060WCMCCT455ID,CMC REBAR BRIGHTON,455 IDA ST.,BRIGHTON,ADAMS,08,CO,N/A,80603,8,REGION 8,0,,N/A,,C,COMMERCIAL METALS CO,007925845,COMMERCIAL METALS CO,110043671238,332,,    ,332312,    ,NICKEL COMPOUNDS,N495,N495,650036,NA,NA,NO,YES,YES,1,1319218230908,S,2020-06-29,2020-06-29,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019,80651BTTRB45NFR,JD HEISKELL & CO,450N FRONT ST,PLATTEVILLE,WELD,08,CO,N/A,80651,8,REGION 8,0,,N/A,,C,J D HEISKELL HOLDINGS LLC,009462359,J D HEISKELL HOLDINGS LLC,110031018262,311,,    ,311119,    ,MANGANESE COMPOUNDS,N450,N450,650010,NA,NA,NO,NO,YES,0,1319218073260,S,2020-06-24,2020-06-24,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019,80631LFRGW925N3,MARTIN MARIETTA GREELEY 35TH AVE,925 N 35TH AVE,GREELEY,WELD,08,CO,N/A,80631,8,REGION 8,0,,N/A,,C,MARTIN MARIETTA MATERIALS INC,809750912,MARTIN MARIETTA MATERIALS INC,110001722645,327,,    ,327320,324121    ,POLYCYCLIC AROMATIC COMPOUNDS,N590,N590,649749,NA,NA,NO,YES,YES,0,1319218213421,L,2020-06-28,2020-06-28,0,,,1.0541,.629,.4251,1.0541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0541,0,0,1.0541,0,0,0,0,0,0,0,0,1.0541,
2019,80022BYLSG4400E,AZZ GALVANIZING -DENVER,4400 E 61ST AVE,COMMERCE CITY,ADAMS,08,CO,N/A,80022,8,REGION 8,0,,N/A,,C,AZZ INC,008012148,AZZ INC,110000466585,332,,    ,332812,    ,LEAD,007439921,007439921,149583,NA,NA,NO,YES,YES,1,1319217786944,L,2020-05-27,2020-05-27,0,,,.066,.066,0,.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.39,0,0,0,10.39,.066,0,0,.066,0,0,0,10.39,0,0,0,0,10.456,
2019,80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08,CO,N/A,80022,8,REGION 8,0,,N/A,,C,SUNCOR ENERGY (USA) INC,241804681,SUNCOR ENERGY (USA) INC,110032913024,324,,    ,324110,424710    ,ETHYLENE,000074851,000074851,5090,NA,NA,NO,NO,NO,0,1319218259505,L,2020-06-29,2020-06-29,0,,,4396,119,4277,4396,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4396,0,0,4396,0,0,0,0,0,0,201935,0,206331,
2019,80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08,CO,N/A,80022,8,REGION 8,0,,N/A,,C,SUNCOR ENERGY (USA) INC,241804681,SUNCOR ENERGY (USA) INC,110032913024,324,,    ,324110,424710    ,1 2 4-TRIMETHYLBENZENE,000095636,000095636,16261,NA,NA,NO,NO,NO,0,1319218259392,L,2020-06-29,2020-06-29,0,,,799,357,442,799,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.17,0,0,35,0,35.17,799.17,0,0,538,.17,0,0,0,0,0,4635,35,5208.17,261
2019,80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08,CO,N/A,80022,8,REGION 8,0,,N/A,,C,SUNCOR ENERGY (USA) INC,241804681,SUNCOR ENERGY (USA) INC,110032913024,324,,    ,324110,424710    ,CUMENE,000098828,000098828,18309,NA,NA,NO,YES,YES,0,1319218259467,L,2020-06-29,2020-06-29,0,,,201,178,23,201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,201,0,0,201,0,0,0,0,0,0,4078,49,4328,0
2019,80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08,CO,N/A,80022,8,REGION 8,0,,N/A,,C,SUNCOR ENERGY (USA) INC,241804681,SUNCOR ENERGY (USA) INC,110032913024,324,,    ,324110,424710    ,PROPYLENE,000115071,000115071,29009,NA,NA,NO,NO,NO,0,1319218259632,L,2020-06-29,2020-06-29,0,,,14797,1164,13633,14797,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14797,0,0,14797,0,0,0,0,0,0,500700,0,515497,
2019,80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08,CO,N/A,80022,8,REGION 8,0,,N/A,,C,SUNCOR ENERGY (USA) INC,241804681,SUNCOR ENERGY (USA) INC,110032913024,324,,    ,324110,424710    ,POLYCYCLIC AROMATIC COMPOUNDS,N590,N590,649749,NA,NA,NO,YES,YES,0,1319218259620,L,2020-06-29,2020-06-29,0,,,30.2,15.32,3.65,18.97,11.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2,0,0,28.84,0,0,0,0,0,0,0,0,28.84,1.36
2019,80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08,CO,N/A,80022,8,REGION 8,0,,N/A,,C,SUNCOR ENERGY (USA) INC,241804681,SUNCOR ENERGY (USA) INC,110032913024,324,,    ,324110,424710    ,COBALT COMPOUNDS,N096,N096,649970,NA,NA,NO,NO,YES,0,1319218259442,L,2020-06-29,2020-06-29,0,,,12,0,8,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1685,0,0,0,1685,12,0,0,12,0,0,0,1685,0,0,0,0,1697,
